policy_id,customer_id,agent_id,insurance_id,payment_schedule,policy_status,payment_status,start_date,claim_date,claim_amount,annual_premium,payments_per_year,total_premium
1,1,1,1,Annually,Active,Paid,2018-02-24,,,11685.2,1,233704.0
2,2,2,1,Annually,Active,Paid,2017-04-19,,,11862.39,1,237247.8
3,3,2,2,Monthly,Active,Paid,2024-10-30,,,158662.54,12,158662.54
4,4,3,3,Quarterly,Active,Paid,2023-10-09,,,18626.86,4,465671.5
8,5,4,4,Quarterly,Active,Paid,2024-03-06,,,16167.38,4,16167.38
9,6,4,1,Quarterly,Active,Paid,2017-09-29,,,89431.63,4,1788632.6
11,7,5,4,Monthly,Active,Paid,2022-09-19,,,28574.87,12,28574.87
13,8,6,4,Quarterly,Active,Paid,2024-03-10,,,96359.13,4,96359.13
16,9,5,3,Annually,Active,Paid,2017-11-19,,,8010.89,1,200272.25
17,10,2,4,Annually,Active,Paid,2018-11-08,,,65646.18,1,65646.18
18,11,5,4,Annually,Active,Paid,2024-04-15,,,53378.72,1,53378.72
19,12,7,5,Annually,Active,Paid,2019-08-01,,,10525.86,1,684180.9
21,13,1,4,Quarterly,Active,Paid,2019-02-19,,,22211.61,4,22211.61
22,14,5,2,Annually,Active,On-Going,2018-02-08,,,79009.16,1,79009.16
25,15,3,2,Monthly,Active,On-Going,2018-11-06,,,100130.04,12,100130.04
26,16,7,3,Monthly,Active,On-Going,2019-02-17,,,83880.62,12,2097015.5
27,17,6,3,Annually,Active,On-Going,2018-10-07,,,43839.43,1,1095985.75
31,18,5,4,Annually,Active,On-Going,2019-12-23,,,11720.43,1,11720.43
33,19,2,1,Annually,Active,On-Going,2023-03-17,,,16121.41,1,322428.2
34,20,7,3,Monthly,Active,On-Going,2018-01-14,,,44426.59,12,1110664.75
35,12,5,3,Annually,Active,On-Going,2024-11-30,,,21398.08,1,534952.0
39,21,7,1,Monthly,Active,On-Going,2022-03-01,,,108836.25,12,2176725.0
41,13,4,1,Quarterly,Active,On-Going,2017-06-06,,,18386.06,4,367721.2
42,22,2,2,Annually,Active,On-Going,2019-02-18,,,9814.94,1,9814.94
43,23,8,3,Annually,Active,On-Going,2020-07-09,,,99057.81,1,2476445.25
44,24,1,4,Quarterly,Active,On-Going,2023-03-21,,,20060.01,4,20060.01
46,25,4,2,Quarterly,Active,On-Going,2018-11-27,,,46027.61,4,46027.61
47,26,5,1,Monthly,Active,On-Going,2017-04-11,,,22623.05,12,452461.0
48,27,7,2,Quarterly,Active,On-Going,2022-07-18,,,20968.99,4,20968.99
49,28,5,1,Annually,Active,On-Going,2022-10-23,,,22577.06,1,451541.2
50,29,1,2,Annually,Active,On-Going,2023-09-05,,,69834.89,1,69834.89
52,1,6,3,Quarterly,Active,On-Going,2020-10-07,,,51429.61,4,1285740.25
53,30,3,5,Monthly,Active,Paid,2017-09-21,,,41460.39,12,2694925.35
54,31,3,2,Annually,Active,Paid,2024-10-19,,,102517.94,1,102517.94
57,32,3,4,Annually,Active,Paid,2017-04-22,,,37195.98,1,37195.98
59,33,7,3,Monthly,Active,Paid,2020-12-04,,,14362.8,12,359070.0
60,34,2,1,Monthly,Active,Paid,2019-09-05,,,52547.5,12,1050950.0
63,35,7,1,Quarterly,Active,Paid,2024-09-03,,,13714.91,4,274298.2
64,36,3,3,Annually,Active,Paid,2024-04-06,,,57792.82,1,1444820.5
65,37,8,1,Quarterly,Active,Paid,2024-12-07,,,96868.13,4,1937362.6
66,38,5,4,Annually,Active,Paid,2023-08-24,,,31334.04,1,31334.04
67,39,4,3,Annually,Active,Paid,2024-06-29,,,108088.56,1,2702214.0
70,40,4,1,Quarterly,Active,Paid,2024-06-12,,,40942.02,4,818840.4
71,41,2,2,Quarterly,Active,Paid,2020-01-15,,,18795.26,4,18795.26
75,42,6,1,Quarterly,Active,Paid,2022-07-08,,,15276.45,4,305529.0
76,43,1,4,Quarterly,Active,Paid,2023-10-20,,,9720.97,4,9720.97
77,16,5,2,Quarterly,Active,Paid,2020-06-04,,,123565.64,4,123565.64
80,44,6,4,Monthly,Active,Paid,2024-04-06,,,19304.11,12,19304.11
82,45,1,3,Quarterly,Active,Paid,2021-11-29,,,22511.8,4,562795.0
83,46,8,3,Annually,Active,Paid,2023-06-15,,,6141.59,1,153539.75
84,31,3,4,Quarterly,Active,Paid,2020-02-14,,,34461.14,4,34461.14
86,47,5,3,Monthly,Active,Paid,2022-02-06,,,145062.47,12,3626561.75
87,48,3,2,Quarterly,Active,Paid,2021-08-20,,,95202.56,4,95202.56
89,49,5,4,Annually,Active,Paid,2021-07-30,,,23770.98,1,23770.98
91,13,8,2,Monthly,Active,Paid,2017-10-13,,,57314.63,12,57314.63
96,50,5,2,Quarterly,Active,Paid,2020-10-18,,,10868.63,4,10868.63
99,51,1,1,Quarterly,Active,Paid,2021-03-16,,,57014.9,4,1140298.0
100,52,6,4,Annually,Active,Paid,2021-04-16,,,10782.55,1,10782.55
102,53,1,2,Quarterly,Active,Paid,2024-09-28,,,25973.47,4,25973.47
106,54,1,1,Annually,Active,Paid,2018-06-23,,,12244.67,1,244893.4
109,55,8,2,Monthly,Active,Paid,2019-12-20,,,14883.52,12,14883.52
110,56,2,4,Quarterly,Active,Paid,2017-04-13,,,13435.46,4,13435.46
111,57,3,1,Quarterly,Active,Paid,2018-04-23,,,52664.26,4,1053285.2
112,2,6,1,Quarterly,Active,Paid,2021-02-28,,,26783.2,4,535664.0
113,58,3,2,Quarterly,Active,Paid,2020-02-20,,,111168.38,4,111168.38
115,59,7,3,Monthly,Active,Paid,2024-06-07,,,153023.89,12,3825597.25
116,60,2,3,Monthly,Active,Paid,2023-03-21,,,120572.25,12,3014306.25
117,61,7,3,Monthly,Active,Paid,2018-06-17,,,8465.94,12,211648.5
119,49,2,2,Quarterly,Active,Paid,2021-01-22,,,34766.85,4,34766.85
121,62,4,2,Quarterly,Active,Paid,2023-10-28,,,16240.83,4,16240.83
122,63,2,2,Annually,Active,Paid,2021-10-29,,,21342.89,1,21342.89
123,64,1,2,Quarterly,Active,Paid,2021-06-22,,,27709.94,4,27709.94
124,65,1,3,Annually,Active,Paid,2022-04-27,,,33839.81,1,845995.25
126,66,2,2,Monthly,Active,Paid,2020-03-24,,,164480.46,12,164480.46
128,20,6,2,Annually,Active,Paid,2017-04-18,,,53748.84,1,53748.84
129,67,6,3,Monthly,Active,Paid,2018-08-10,,,18775.59,12,469389.75
130,68,4,1,Quarterly,Active,Paid,2020-10-28,,,14553.65,4,291073.0
131,69,1,4,Annually,Active,Paid,2017-07-23,,,6944.75,1,6944.75
132,70,3,2,Annually,Active,Paid,2018-04-12,,,25243.76,1,25243.76
133,53,6,4,Annually,Active,Paid,2017-08-13,,,7756.48,1,7756.48
134,71,2,3,Annually,Active,Paid,2021-10-30,,,5096.62,1,127415.5
135,72,5,4,Annually,Active,Paid,2017-06-23,,,9963.39,1,9963.39
136,73,4,3,Annually,Active,Paid,2021-09-07,,,40221.14,1,1005528.5
138,61,5,4,Quarterly,Active,Paid,2020-10-22,,,9947.08,4,9947.08
140,74,3,4,Annually,Active,Paid,2022-07-17,,,25336.73,1,25336.73
141,75,3,4,Annually,Active,Paid,2020-07-18,,,31606.17,1,31606.17
142,76,4,3,Monthly,Active,Paid,2020-06-25,,,9399.28,12,234982.0
143,77,2,3,Quarterly,Active,Paid,2022-03-11,,,49703.99,4,1242599.75
144,78,5,3,Monthly,Active,Paid,2022-01-20,,,27543.05,12,688576.25
145,79,4,4,Quarterly,Active,Paid,2021-12-05,,,8096.8,4,8096.8
146,80,4,3,Annually,Active,Paid,2023-09-15,,,44042.43,1,1101060.75
148,81,6,3,Monthly,Active,Paid,2020-06-22,,,18657.02,12,466425.5
149,82,3,4,Quarterly,Active,Paid,2020-06-19,,,38091.4,4,38091.4
156,83,2,3,Quarterly,Active,Paid,2019-08-24,,,9955.67,4,248891.75
157,84,3,1,Quarterly,Active,Paid,2018-08-22,,,139338.03,4,2786760.6
159,85,5,1,Monthly,Active,Paid,2021-09-16,,,13046.21,12,260924.2
160,62,1,1,Annually,Active,Paid,2023-06-14,,,20821.77,1,416435.4
161,48,5,1,Monthly,Active,Paid,2024-06-14,,,18199.94,12,363998.8
162,86,1,4,Annually,Active,Paid,2017-03-25,,,173541.44,1,173541.44
166,7,4,4,Annually,Active,Paid,2019-02-22,,,24499.27,1,24499.27
169,87,1,4,Annually,Active,Paid,2020-04-25,,,6000.86,1,6000.86
171,88,3,1,Annually,Active,Paid,2024-08-14,,,22827.15,1,456543.0
172,89,6,1,Quarterly,Active,Paid,2021-01-23,,,22097.16,4,441943.2
